Time (min),Cyanobacterial cell count,wastewater concentration (Ci),Sonicator power density,Concentration of H2O2,Volume (mL),Solution pH,final count/0.5 mL,final count/mL,Particles/mL,Area (ABD) Mean,Area (ABD) Min,Area (ABD) Max,Area (Filled) Mean,Area (Filled) Min,Area (Filled) Max,Aspect Ratio Mean,Aspect Ratio Min,Aspect Ratio Max,Circle Fit Mean,Circle Fit Min,Circle Fit Max,Circularity Mean,Circularity Min,Circularity Max,Circularity (Hu) Mean,Circularity (Hu) Min,Circularity (Hu) Max,Compactness Mean,Compactness Min,Compactness Max,Convex Perimeter Mean,Convex Perimeter Min,Convex Perimeter Max,Convexity Mean,Convexity Min,Convexity Max,Diameter (ABD) Mean,Diameter (ABD) Min,Diameter (ABD) Max,Diameter (ESD) Mean,Diameter (ESD) Min,Diameter (ESD) Max,Diameter (FD) Mean,Diameter (FD) Min,Diameter (FD) Max,"D[3,2](ABD) Mean","D[3,2](ESD) Mean","D[4,3](ABD) Mean","D[4,3](ESD) Mean",Edge Gradient Mean,Edge Gradient Min,Edge Gradient Max,Elapsed Time Mean,Elapsed Time Min,Elapsed Time Max,Elongation Mean,Elongation Min,Elongation Max,Fiber Curl Mean,Fiber Curl Min,Fiber Curl Max,Fiber Straightness Mean,Fiber Straightness Min,Fiber Straightness Max,Geodesic Aspect Ratio Mean,Geodesic Aspect Ratio Min,Geodesic Aspect Ratio Max,Geodesic Length Mean,Geodesic Length Min,Geodesic Length Max,Geodesic Thickness Mean,Geodesic Thickness Min,Geodesic Thickness Max,Image Height Mean,Image Height Min,Image Height Max,Image Width Mean,Image Width Min,Image Width Max,Intensity Mean,Intensity Min,Intensity Max,Length Mean,Length Min,Length Max,Particles Per Chain Mean,Particles Per Chain Min,Particles Per Chain Max,Perimeter Mean,Perimeter Min,Perimeter Max,Ratio Blue/Green Mean,Ratio Blue/Green Min,Ratio Blue/Green Max,Ratio Red/Blue Mean,Ratio Red/Blue Min,Ratio Red/Blue Max,Ratio Red/Green Mean,Ratio Red/Green Min,Ratio Red/Green Max,Roughness Mean,Roughness Min,Roughness Max,Scatter Area Mean,Scatter Area Min,Scatter Area Max,Scatter Peak Mean,Scatter Peak Min,Scatter Peak Max,Scatter Width Mean,Scatter Width Min,Scatter Width Max,Sigma Intensity Mean,Sigma Intensity Min,Sigma Intensity Max,Sphere Complement Mean,Sphere Complement Min,Sphere Complement Max,Sphere Count Mean,Sphere Count Min,Sphere Count Max,Sphere Unknown Mean,Sphere Unknown Min,Sphere Unknown Max,Sphere Volume Mean,Sphere Volume Min,Sphere Volume Max,Sum Intensity Mean,Sum Intensity Min,Sum Intensity Max,Symmetry Mean,Symmetry Min,Symmetry Max,Transparency Mean,Transparency Min,Transparency Max,Volume (ABD) Mean,Volume (ABD) Min,Volume (ABD) Max,Volume (ESD) Mean,Volume (ESD) Min,Volume (ESD) Max,Width Mean,Width Min,Width Max
0,108768,10,20,0,100,7.4,54384,108768,220715.33,77.49,1.62,1961.74,79.57,1.62,2176.82,0.63,0,1,0.61,0,0.95,0.56,0.03,1,0.71,0.01,1,2.45,1,37.26,40.64,20.13,498.08,0.86,0,1,8.07,1.44,49.98,11.42,5,157.1,8.17,1.44,52.65,18.49,29.23,25.51,46.15,58.57,3.07,227.09,90.77,0.58,182.75,5.35,1,115.05,0.42,0,2.96,0.79,0.25,4.62,0.44,0.01,1,20.68,5.08,368.59,6,0.6,36.56,31.4,9,294,28.12,11,208,144.82,43.83,203.2,14.59,5.51,239.91,1.21,1,13,53.36,14.87,745.07,1.01,0.95,1.06,0.99,0.92,1.08,0.99,0.93,1.08,1.3,0.25,3.18,0,0,0,0,0,0,0,0,0,22.05,0.73,67.9,0,0,0,0,0,0,0,0,0,0,0,0,31591.25,2066,582878,0.53,0,1,0.28,0.03,0.92,955.42,1.55,65362.3,3049.24,65.48,2030313.13,7.51,0.73,77.52
10,108768,10,20,0,100,7.4,24480,48960,97832.54,35.55,1.89,1802.43,36.07,1.89,2061.59,0.7,0,1,0.74,0,0.96,0.76,0.01,1,0.81,0.04,1,1.56,1,77.14,29.1,20.07,302.52,0.93,0,1,6.09,1.55,47.91,7.74,5,94.85,6.12,1.55,51.23,9.97,14.76,14.73,28.6,70.88,3.45,233.37,91.05,0.58,185.58,2.52,1,240.35,0.19,0,4.31,0.93,0.19,2.25,0.72,0,1,11.3,3.75,315.59,6.44,0.81,35.78,25.53,12,211,24.02,11,163,137.89,46.55,205.12,9.7,5.51,145.12,1.15,1,27,35.48,13.84,634.05,1.01,0.97,1.04,0.99,0.91,1.07,0.99,0.95,1.04,1.22,0.64,3.75,0,0,0,0,0,0,0,0,0,24.33,0.91,70.15,0,0,0,0,0,0,0,0,0,0,0,0,18700.49,2182,530902,0.67,0,1,0.2,0.03,0.83,236.35,1.95,57564.03,571.94,65.48,446803.51,5.39,0.73,65.03
20,108768,10,20,0,100,7.4,20451,40902,81667.46,33.39,2.16,1846.39,33.87,2.16,2037.25,0.69,0,1,0.74,0,0.96,0.77,0.02,1,0.8,0.03,1,1.51,1,45.77,28.47,20.05,397.94,0.92,0,1,5.9,1.66,48.49,7.54,5,125.06,5.93,1.66,50.93,10.05,16.08,16.17,42.35,72.44,3.36,229.49,90.96,0.58,185.72,2.37,1,141.77,0.17,0,3.08,0.94,0.25,2.43,0.72,0.01,1,10.84,4.51,333.96,6.34,0.82,31.39,25.25,12,241,23.8,11,257,137.34,41.81,200.04,9.47,5.51,188.48,1.18,1,16,34.36,15.05,672.63,1.01,0.97,1.04,0.99,0.92,1.04,0.99,0.96,1.05,1.2,0.49,3.28,0,0,0,0,0,0,0,0,0,24.6,1.15,70.07,0,0,0,0,0,0,0,0,0,0,0,0,17877.06,2284,482437,0.67,0,1,0.21,0.02,0.83,223.73,2.39,59682.65,592.97,65.48,1024099.62,5.23,0.73,47.39
30,108768,10,20,0,100,7.4,19227,38454,76443.23,30.52,2.02,1799.9,30.86,2.02,1799.9,0.69,0.07,1,0.75,0,0.96,0.78,0.05,1,0.79,0.04,1,1.46,1,20.1,27.83,20.07,265.21,0.92,0.19,1,5.73,1.61,47.87,7.34,5,82.87,5.76,1.61,47.87,8.74,11.9,12.91,22.55,73.18,4.51,231.04,90.83,0.58,186.53,2.23,1,61.13,0.16,0,2.37,0.95,0.3,2.68,0.73,0.02,1,10.39,3.9,330.03,6.25,0.94,43.52,24.84,13,181,23.72,14,163,136.37,51.51,199.07,9.22,5.51,125.28,1.19,1,6,33.28,14.44,670.85,1.01,0.97,1.05,0.99,0.92,1.05,0.99,0.96,1.03,1.2,0.52,2.56,0,0,0,0,0,0,0,0,0,24.14,1.04,68.98,0,0,0,0,0,0,0,0,0,0,0,0,16952.18,2597,446706,0.68,0,1,0.21,0.03,0.83,177.93,2.17,57443.1,392.13,65.48,297972.83,5.07,1.1,49.6
40,108768,10,20,0,100,7.4,19802,39604,79137.25,29.54,2.43,1880.77,29.85,2.43,1880.77,0.68,0.05,1,0.74,0,0.96,0.77,0.02,1,0.78,0.04,1,1.47,1,40.96,27.74,20.07,298.07,0.91,0.21,1,5.64,1.76,48.94,7.31,5,93.3,5.66,1.76,48.94,8.71,12.16,13.19,25.15,72.82,5.39,229.07,89.47,0.56,185.55,2.26,1,126.66,0.15,0,3.33,0.95,0.23,2.45,0.72,0.01,1,10.36,3.9,357.9,6.13,0.95,33.55,24.64,11,126,23.91,13,190,136.47,44.84,202.96,9.23,5.51,132.63,1.21,1,9,32.98,14.44,721.45,1.01,0.98,1.04,0.99,0.93,1.06,0.99,0.95,1.04,1.19,0.53,3.24,0,0,0,0,0,0,0,0,0,23.74,1.27,71.23,0,0,0,0,0,0,0,0,0,0,0,0,16616.64,2640,481719,0.67,0,1,0.22,0.03,0.83,171.45,2.85,61357.4,397.68,65.48,425238.16,5,0.73,53.27
50,108768,10,20,0,100,7.4,19605,39210,77606.06,26.31,2.02,932.77,26.55,2.02,947.07,0.67,0.05,1,0.74,0,0.95,0.77,0.09,1,0.76,0.04,1,1.46,1,11.54,27.07,20.05,166.38,0.91,0.2,1,5.4,1.61,34.46,7.1,5,51.46,5.42,1.61,34.73,7.47,9.6,9.63,13.1,74.41,5.71,231.95,89.42,0.58,187.33,2.23,1,34.22,0.14,0,2.28,0.96,0.31,2.24,0.71,0.03,1,9.98,4.58,100.55,5.95,0.99,32.92,24.39,11,108,23.64,13,109,135.95,53.16,202.28,9.04,5.51,71.64,1.24,1,7,31.86,14.87,209.8,1.01,0.98,1.05,0.99,0.91,1.05,0.99,0.96,1.03,1.18,0.54,2.17,0,0,0,0,0,0,0,0,0,23.21,1.36,68.42,0,0,0,0,0,0,0,0,0,0,0,0,15481.53,2327,251274,0.67,0,1,0.23,0.02,0.78,131.04,2.17,21430.28,283.49,65.48,71337.37,4.77,1.1,35.64
60,108768,10,20,0,100,7.4,20034,40068,81802.19,26.23,2.02,1259.08,26.48,2.02,1314.99,0.65,0.05,1,0.73,0,0.96,0.77,0.08,1,0.75,0.03,1,1.46,1,13.26,27.13,20.05,182.16,0.9,0.19,1,5.36,1.61,40.04,7.12,5,56.4,5.38,1.61,40.92,7.76,9.94,10.8,14.4,74.15,3.97,233.68,86.38,0.58,181.63,2.23,1,39.63,0.13,0,2.64,0.96,0.27,2.29,0.7,0.03,1,10,4.11,188.83,5.89,0.8,24.58,24.58,13,103,23.53,14,102,135.5,49.14,197.82,9.12,5.51,75.32,1.26,1,5,31.78,14.27,393.94,1.01,0.97,1.04,0.99,0.92,1.04,0.99,0.95,1.04,1.17,0.51,2.34,0,0,0,0,0,0,0,0,0,22.59,0.85,71.4,0,0,0,0,0,0,0,0,0,0,0,0,15345.24,2166,340768,0.67,0,1,0.23,0.02,0.83,135.63,2.17,33608.18,297.63,65.48,93916.35,4.7,0.73,50.33
0,200000,20,20,0,100,7.4,84810,169620,336842.64,98.93,2.02,11614.08,101.15,2.02,11678.21,0.65,0.03,1,0.62,0,0.96,0.6,0.02,1,0.75,0.01,1,2.14,1,60.66,42.9,20.03,755.97,0.89,0.07,1,8.94,1.61,121.6,12.13,5,239.14,9.03,1.61,121.94,24.26,37.05,40.48,65.31,65.8,40,245.05,92.62,0.58,186.7,4.38,1,188.57,0.38,0,4.39,0.81,0.19,3.54,0.48,0.01,1,21.51,4.58,789.64,6.62,0.77,56.94,32.03,10,529,29.47,12,349,148.17,38.3,208.83,15.35,5.51,365.56,1.17,1,22,56.25,15.05,1587.65,1.01,0.95,1.05,0.99,0.9,1.11,0.99,0.95,1.07,1.29,0.34,4,0,0,0,0,0,0,0,0,0,25.33,2.64,69.19,0,0,0,0,0,0,0,0,0,0,0,0,38737.12,2777,2185382,0.55,0,1,0.25,0.02,0.89,1599.84,2.17,941544.59,4684.22,65.48,7160389.58,8.17,0.73,145.12
10,200000,20,20,0,100,7.4,40721,81442,158070.12,36.59,1.62,2119.43,37,1.62,2787.66,0.67,0.07,1,0.72,0,0.96,0.75,0.04,1,0.78,0.02,1,1.53,1,23.51,29.88,19.96,309.03,0.92,0.15,1,6.16,1.44,51.95,7.99,5,96.89,6.18,1.44,59.58,10.06,13.67,14.55,23.5,77.51,40,237,94.83,0.56,191,2.44,1,71.85,0.17,0,2.8,0.94,0.26,3.01,0.68,0.01,1,11.53,4.11,302.38,6.35,0.99,33.85,25.74,12,174,24.63,12,138,143.52,38.88,212.94,10.13,5.51,117.2,1.19,1,9,35.76,14.44,613.18,1.01,0.96,1.05,0.99,0.92,1.06,0.99,0.95,1.05,1.2,0.4,2.54,0,0,0,0,0,0,0,0,0,26.15,3.78,71.79,0,0,0,0,0,0,0,0,0,0,0,0,19763.81,2088,641081,0.65,0,1,0.22,0.02,0.83,245.44,1.55,73399.46,554.46,65.48,476273.32,5.41,0.73,72.38
20,200000,20,20,0,100,7.4,27804,55608,129501.91,35.63,2.16,8326.6,36.03,2.16,8457.92,0.67,0.07,1,0.72,0,0.97,0.75,0.05,1,0.77,0.02,1,1.5,1,18.86,29.2,20.05,414.93,0.91,0.12,1,5.96,1.66,102.96,7.77,5,130.51,5.98,1.66,103.77,13.11,16.48,32.92,41.04,78.68,40,240.15,80.52,0.56,159.28,2.35,1,57.23,0.16,0,2.37,0.94,0.3,2.89,0.68,0.02,1,11.14,3.75,239.3,6.22,1.13,92.03,25.41,11,279,24.44,14,156,142.87,41.36,206.13,9.85,5.51,194.35,1.22,1,6,34.72,13.84,495.34,1.01,0.96,1.05,0.99,0.92,1.07,0.99,0.96,1.04,1.19,0.36,2.23,0,0,0,0,0,0,0,0,0,26.38,4.4,74.51,0,0,0,0,0,0,0,0,0,0,0,0,18932.52,2677,789290,0.65,0,1,0.22,0.01,0.89,311.42,2.39,571564.75,647.94,65.48,1163902.12,5.26,1.1,103.24
