TRUE,prediction
28.09058952,28.9
31.87017441,32.97
39.25362015,36.33
34.82387924,35.52
29.87678146,30.51
26.99800873,24.58
30.5249157,31.96
33.1769104,34.28
33.97571564,33.54
30.61826897,29.65
29.29248619,29.42
28.49905396,26.48
32.57879257,33.33
50.19823837,68.02
69.52770996,87.27
28.47192383,25.7
44.31756592,38.57
32.46787262,32.27
46.55953598,35
39.25362015,35.73
31.51923943,31.54
32.36402893,33.35
51.71333313,34.02
35.97460175,34.83
44.50592422,37.83
28.29705811,31.09
32.33205032,32.31
29.68769836,27.13
35.73120499,33.16
32.2814827,30.14
29.38892746,27.17
28.41017151,27
33.97571564,35.63
60.51130676,75.52
30.18399048,31
57.20356369,77.36
31.45845222,32.57
32.6573143,33.14
27.73714828,27.56
46.30807877,32.58
29.11194801,27.12
36.58942413,35.11
29.59634018,29.34
29.17273521,30.88
57.33571243,67.09
38.68242264,35.16
45.08320618,36.1
46.30807877,36.41
29.68769836,29.05
34.97105789,34.31
37.59394455,34.63
35.59698105,36.21
29.7209034,28.73
28.501091,27.21
30.6969738,30.5
29.67420578,30.97
29.29511642,31.4
27.56907845,25.83
31.95355606,34.66
31.32382202,28.46
29.17273521,34
32.57879257,32.95
58.24150085,65.53
33.50223541,33.39
29.39754677,28
33.79627228,33.38
28.29705811,29.53
34.62434387,34.68
58.24150085,65.58
29.11194801,28.4
64.74970245,86.75
29.9807148,29.2
58.98982239,81.29
30.18399048,31.54
33.225914,31.71
35.73120499,33.78
28.501091,28.36
31.11533737,31.99
44.31756592,38.33
64.74970245,85.94
73.57544708,103.72
83.84226227,80.93
29.8898201,29.54
31.9840374,30.91
31.22297859,30.07
31.11533737,31.62
29.39754677,30.68
48.91488266,35.72
34.55055237,32.42
33.1769104,33.71
31.8102932,32.8
30.47638512,31.33
28.41017151,26.99
31.98859215,33.18
32.58237839,33.53
31.51923943,31.59
52.50588989,32.79
29.19896507,30.65
28.07691193,23.68
30.81736565,30.81
34.29709625,65.31
29.08991432,29.15
59.0606041,67.9
73.57544708,138.46
30.04776001,30.78
33.25801086,32.86
30.42354012,31.99
47.73720932,36.07
32.15605927,32.05
29.59634018,28.96
29.25809669,29.61
59.39191437,85.66
45.47053528,33.29
26.99800873,24.13
28.69685936,34.35
28.86773872,28.11
30.41931534,28.6
35.97460175,34.94
32.36402893,33.56
30.81736565,30.85
35.57865524,29.97
31.87017441,31.26
29.44890976,27.76
77.48285675,83.16
29.25809669,29.45
59.39191437,85.14
31.87017441,32.12
41.65462112,36.02
57.66797256,36.72
34.29709625,32.39
57.33571243,69.76
71.12345123,83.49
32.10285568,32.15
49.54705811,38.78
33.55288696,33.89
54.07743835,67.75
30.41913795,32.37
44.27060699,35.68
45.08320618,35.77
60.36985397,61.14
32.95616531,32.06
29.33197975,29.73
32.93331146,34.17
42.0557785,36.01
63.33690262,79.78
29.20949364,32.83
60.51130676,76.36
30.04776001,31.15
34.43559647,34.71
28.09058952,28.64
61.9241066,79.01
42.0557785,36.24
30.39219475,29.6
34.96335983,33.8
28.06427956,32.45
29.44890976,28.29
28.63685989,26.31
28.20084763,26.23
33.78662872,34.14
32.93331146,33.37
38.68242264,34.17
56.27415848,64.5
29.38892746,28.56
30.39478874,29.59
35.37327957,32.44
30.39478874,32.05
83.84226227,88.86
56.27415848,62.39
28.74823189,27.84
63.33690262,81.23
57.20356369,75.46
31.16830254,31.47
59.0606041,68.1
31.44215012,32.01
29.20949364,30.14
33.82409286,35.22
34.62434387,36.39
36.99440765,35.98
32.6590271,32.77
66.99501801,64.15
31.82931709,33.17
30.40113068,31.49
29.29511642,30.48
32.59909058,32.83
33.328022,34.2
30.41931534,31.52
35.69029617,35.14
32.6573143,33.09
29.60533524,30.6
50.19823837,68.44
36.58942413,38.17
34.82387924,35.67
31.35528946,32.18
32.15605927,32.07
29.44890976,28.58
51.71333313,34.53
29.03861618,29.97
28.47192383,28.17
35.57865524,31.3
35.65736008,36.58
31.32382202,33.26
34.97105789,34.65
45.66093826,35.26
28.42596626,26.64
33.55288696,34.14
28.74823189,29.93
66.99501801,64.04
29.87678146,31.26
29.13606262,30.07
46.55953598,35.8
31.45845222,32.7
29.38892746,29.52
30.59589005,32.86
57.66797256,33.2
30.47638512,30.46
28.06427956,34.67
77.48285675,84.63
37.49536514,35.53
32.33205032,34.43
