TRUE,prediction
40939.53125,32556
31098.25977,31565
65603.875,46432
46194.41406,39561
36633.48047,37871
52853.1875,70977
79506.57813,75123
36056.92969,33593
30699.77734,32769
32010.39258,39137
37973.11719,42038
37900.09766,42954
30766.52734,34922
87360.375,96491
139464.4063,160025
43889.98438,58001
84013.69531,87440
78674.60156,71727
67568.96094,65493
65603.875,48101
32709.16211,35561
29403.45703,30751
63943.66797,49649
71938.78906,69862
86335.94531,93254
40517.34766,31345
37451.48438,40487
45543.51172,43332
47900.61719,47385
87934.32031,103793
32233.375,26827
38534.53906,44290
30699.77734,27804
90225.46875,112629
37270.10547,39797
82920.60938,95643
35884.33984,37750
42364.99609,46435
39496.95313,42054
64167.17188,68348
39206.57422,36017
46656.95703,41640
34924.72656,37794
40441.34766,34827
101396.0625,118032
40909.83984,38236
70858.78125,53549
64167.17188,44485
45543.51172,50616
47241.01563,38729
49308.375,39618
45387.875,39010
37485.75,36944
37915.54297,39586
77448.95313,78420
39833.71875,40815
39688.19531,43617
52122.18359,54169
84116.91406,84584
27908.11133,27442
40441.34766,42322
30766.52734,34849
87798.05469,86254
18565.69141,20451
37381.47656,41484
51960.57031,53081
40517.34766,34918
47821.29688,51960
87798.05469,87740
39206.57422,34680
79724.75781,81418
36098.39453,33337
86279.0625,81726
37270.10547,37748
89378.32031,81712
47900.61719,49127
37915.54297,37901
40246.91016,38841
84013.69531,84588
79724.75781,82825
84797.0625,10732
87223.42188,96040
19075.65625,19802
34473.35156,39209
40736.11719,42862
40246.91016,39397
37381.47656,38137
61091.30469,52585
52676.63281,47314
36056.92969,35104
38144.11719,40136
31020.13281,32539
38534.53906,38837
41601.51953,44634
33483.67969,36838
32709.16211,35691
51468.14453,41708
35840.13672,36886
43625.98438,55803
36175.04688,37522
33960.4375,40612
35657.02344,40848
89567.92188,125344
84797.0625,29264
37390.41797,38400
32808.18359,35452
40127.07813,39120
65959.53906,48365
34107.98828,40160
34924.72656,37102
37187.40234,38371
85890.32031,98627
67366.46094,58229
52853.1875,70546
37299.39844,19623
37966.65625,39218
29520.71484,27575
71938.78906,69703
29403.45703,30972
36175.04688,36926
34647.49609,34706
31098.25977,31120
33671.90234,30979
84205.96094,94846
37187.40234,37698
85890.32031,98011
31098.25977,31492
39653.27344,39520
64284.85156,82403
33960.4375,32172
101396.0625,122744
78890.14063,76540
35681.56641,31455
126113.7031,125040
53487.51953,55869
86767.01563,101698
34430.89844,36120
62853.78125,61757
70858.78125,52285
86152.71875,135294
38658.16016,39870
37461.41406,39582
31252.33203,36606
64829.25391,50412
82686.83594,50650
34818.19922,38753
90225.46875,116271
37390.41797,39299
29343.50586,35812
40939.53125,36530
87619.71094,98514
64829.25391,51903
36632.53906,35724
96184.36719,92076
38335.67188,29165
33671.90234,34627
19157.09766,19605
19866.86328,20034
28744.61523,34274
31252.33203,36830
40909.83984,39357
97304.88281,106123
32233.375,29659
38317.08984,33076
47547.27734,46055
38317.08984,44637
87223.42188,99136
97304.88281,106111
38790.875,37266
82686.83594,95413
82920.60938,93059
35432.53906,35689
89567.92188,124687
31484.82617,36700
34818.19922,40949
44067.31641,45627
47821.29688,53065
53997.42578,56414
38043.24219,42298
85495.45313,94108
36412.91016,37067
34453.91406,35960
39688.19531,41167
42851.00391,46419
87573.94531,86604
29520.71484,28533
72578.02344,73701
42364.99609,46085
40151.56641,40357
87360.375,96904
46656.95703,40460
46194.41406,39711
34062.94531,35632
34107.98828,40465
33671.90234,30202
63943.66797,47745
38082.35156,37397
43889.98438,56644
34647.49609,39772
102572.8906,100693
27908.11133,28596
47241.01563,41769
122365.0156,117914
50495.30859,60072
53487.51953,57433
38790.875,38612
85495.45313,94800
36633.48047,38099
41624.94531,49982
67568.96094,66413
35884.33984,37831
32233.375,35139
40519.57031,41155
64284.85156,72797
31020.13281,30855
38335.67188,35822
84205.96094,94417
42212.09375,42048
37451.48438,41800
