TRUE,prediction
28.9,31.26229841
32.97,32.92361687
36.33,35.62877142
35.52,35.62877142
30.51,31.66372037
24.58,29.14840915
31.96,31.27938207
34.28,34.76300109
33.54,34.76300109
29.65,31.27938207
29.42,31.27938207
26.48,31.26229841
33.33,32.92361687
68.02,65.81188315
87.27,77.91079853
25.7,32.31803913
38.57,35.62877142
32.27,32.92361687
35,35.62877142
35.73,35.62877142
31.54,32.92361687
33.35,33.10195173
34.02,35.41538062
34.83,35.62877142
37.83,35.62877142
31.09,31.5240941
32.31,34.76300109
27.13,30.79335283
33.16,35.62877142
30.14,32.13120056
27.17,31.27938207
27,31.27938207
35.63,34.76300109
75.52,71.17873139
31,32.71022607
77.36,65.81188315
32.57,32.92361687
33.14,33.10195173
27.56,31.27938207
32.58,35.41538062
27.12,31.0414991
35.11,35.62877142
29.34,31.27938207
30.88,32.71022607
67.09,64.21513414
35.16,35.62877142
36.1,35.62877142
36.41,35.41538062
29.05,30.79335283
34.31,35.62877142
34.63,35.41538062
36.21,35.62877142
28.73,31.66372037
27.21,31.27938207
30.5,31.27938207
30.97,31.27938207
31.4,31.27938207
25.83,29.35583967
34.66,32.24873515
28.46,31.84205524
34,32.71022607
32.95,32.92361687
65.53,64.21513414
33.39,34.76300109
28,31.0414991
33.38,34.76300109
29.53,31.5240941
34.68,35.62877142
65.58,64.21513414
28.4,31.0414991
86.75,77.91079853
29.2,31.4258374
81.29,65.81188315
31.54,32.71022607
31.71,32.92361687
33.78,35.62877142
28.36,31.27938207
31.99,31.57412949
38.33,35.62877142
85.94,77.91079853
103.72,110.0823031
80.93,77.91079853
29.54,31.66372037
30.91,32.41469931
30.07,33.98135032
31.62,31.57412949
30.68,31.0414991
35.72,35.62877142
32.42,34.95050097
33.71,34.76300109
32.8,31.57412949
31.33,31.66372037
26.99,31.27938207
33.18,32.92361687
33.53,34.76300109
31.59,32.92361687
32.79,36.64797043
30.65,31.27938207
23.68,28.54962014
30.81,32.92361687
65.31,37.88494505
29.15,31.27938207
67.9,65.81188315
138.46,110.0823031
30.78,32.92361687
32.86,34.76300109
31.99,34.5496103
36.07,35.62877142
32.05,34.76300109
28.96,31.27938207
29.61,31.66372037
85.66,77.91079853
33.29,34.95050097
24.13,29.14840915
34.35,31.27938207
28.11,31.27938207
28.6,31.45771694
34.94,35.62877142
33.56,33.10195173
30.85,32.92361687
29.97,37.20183578
31.26,32.92361687
27.76,31.27938207
83.16,77.91079853
29.45,31.66372037
85.14,77.91079853
32.12,32.92361687
36.02,35.62877142
36.72,34.77775044
32.39,37.88494505
69.76,64.21513414
83.49,77.91079853
32.15,34.76300109
38.78,35.62877142
33.89,34.76300109
67.75,65.81188315
32.37,31.66372037
35.68,35.62877142
35.77,35.62877142
61.14,64.63271457
32.06,31.57412949
29.73,31.5240941
34.17,34.76300109
36.01,35.62877142
79.78,74.60805437
32.83,31.27938207
76.36,71.17873139
31.15,32.92361687
34.71,34.76300109
28.64,31.26229841
79.01,74.00839547
36.24,35.62877142
29.6,32.92361687
33.8,34.76300109
32.45,31.27938207
28.29,31.27938207
26.31,30.94744304
26.23,30.94744304
34.14,34.76300109
33.37,34.76300109
34.17,35.62877142
64.5,63.14745997
28.56,31.27938207
29.59,31.66372037
32.44,35.41538062
32.05,31.66372037
88.86,77.91079853
62.39,63.14745997
27.84,31.27938207
81.23,74.60805437
75.46,65.81188315
31.47,32.92361687
68.1,65.81188315
32.01,31.66372037
30.14,31.27938207
35.22,34.76300109
36.39,35.62877142
35.98,35.62877142
32.77,31.95326957
64.15,64.63271457
33.17,34.5496103
31.49,31.66372037
30.48,31.27938207
32.83,33.10195173
34.2,32.13120056
31.52,31.45771694
35.14,35.62877142
33.09,33.10195173
30.6,31.27938207
68.44,65.81188315
38.17,35.62877142
35.67,35.62877142
32.18,32.92361687
32.07,34.76300109
28.58,31.27938207
34.53,35.41538062
29.97,31.27938207
28.17,32.31803913
31.3,37.20183578
36.58,34.76300109
33.26,31.84205524
34.65,35.62877142
35.26,35.62877142
26.64,29.63423489
34.14,34.76300109
29.93,31.27938207
64.04,64.63271457
31.26,31.66372037
30.07,31.27938207
35.8,35.62877142
32.7,32.92361687
29.52,31.27938207
32.86,31.66372037
33.2,34.77775044
30.46,31.66372037
34.67,31.27938207
84.63,77.91079853
35.53,35.62877142
34.43,34.76300109
