TRUE,prediction
32556,34281.94485
31565,32226.29492
46432,51405.95096
39561,38779.52949
37871,35794.52553
70977,69223.57398
75123,76258.5718
33593,31002.59951
32769,32226.29492
39137,36559.29507
42038,39533.61646
42954,40506.16386
34922,35240.899
96491,96126.22303
160025,155465.3276
58001,55811.00567
87440,82675.95384
71727,75480.28595
65493,63735.75479
48101,51405.95096
35561,33754.21818
30751,31002.59951
49649,52069.77447
69862,70871.04692
93254,84881.84759
31345,34831.83785
40487,40665.10259
43332,46625.00495
47385,48243.04087
103793,79457.94078
26827,33004.58077
44290,41983.01544
27804,32226.29492
112629,106767.2553
39797,41444.57836
95643,94102.64369
37750,36837.43569
46435,45549.87375
42054,40704.36622
68348,60920.60597
36017,38267.98589
41640,43167.61842
37794,36559.29507
34827,35220.35934
118032,119817.9285
38236,39813.5379
53549,50803.13395
44485,60920.60597
50616,46625.00495
38729,43045.48923
39618,39767.85982
39010,38779.52949
36944,40869.94798
39586,38079.96999
78420,77371.63927
40815,40963.22499
43617,43612.26304
54169,54108.90156
84584,81349.2941
27442,30614.07802
42322,35220.35934
34849,35240.899
86254,89831.15907
20451,20040.47146
41484,37154.91842
53081,55742.0277
34918,34831.83785
51960,50560.50317
87740,89831.15907
34680,38267.98589
81418,82981.6076
33337,36064.38613
81726,94699.93583
37748,41444.57836
81712,79457.94078
49127,48243.04087
37901,38079.96999
38841,39369.60844
84588,82675.95384
82825,82981.6076
10732,23263.3878
96040,95180.44071
19802,19472.36762
39209,36306.9305
42862,43229.06844
39397,39369.60844
38137,37154.91842
52585,53080.09764
47314,50403.1814
35104,31002.59951
40136,39369.60844
32539,32226.29492
38837,41983.01544
44634,43982.40303
36838,35794.52553
35691,33754.21818
41708,43894.17348
36886,38420.54899
55803,54303.86125
37522,40869.94798
40612,36837.43569
40848,35645.57149
125344,123019.8543
29264,23263.3878
38400,39018.38449
35452,35240.899
39120,35220.35934
48365,55120.40499
40160,40869.94798
37102,36559.29507
38371,38629.86299
98627,96692.21077
58229,58531.27799
70546,69223.57398
19623,34932.96178
39218,40869.94798
27575,30064.18502
69703,70871.04692
30972,31002.59951
36926,40869.94798
34706,36306.9305
31120,32226.29492
30979,34117.64824
94846,93565.48565
37698,38629.86299
98011,96692.21077
31492,32226.29492
39520,38902.01742
82403,75627.75525
32172,36837.43569
122744,119817.9285
76540,82070.08712
31455,35871.37627
125040,123635.4501
55869,56252.73119
101698,99255.57382
36120,31072.23007
61757,62009.28133
52285,50803.13395
135294,114118.0554
39870,38858.90494
39582,41056.05686
36606,33754.21818
50412,51405.95096
50650,84295.38076
38753,34532.50403
116271,106767.2553
39299,39018.38449
35812,35240.899
36530,34281.94485
98514,93517.20019
51903,51405.95096
35724,35871.37627
92076,93520.91494
29165,36046.02924
34627,34117.64824
19605,19614.02195
20034,20280.55477
34274,31314.77443
36830,33754.21818
39357,39813.5379
106123,108776.8532
29659,33004.58077
33076,36594.89132
46055,48618.69131
44637,36594.89132
99136,95180.44071
106111,108776.8532
37266,37685.87885
95413,84295.38076
93059,94102.64369
35689,35794.52553
124687,123019.8543
36700,35413.40582
40949,34532.50403
45627,45439.877
53065,50560.50317
56414,54644.10221
42298,41106.70843
94108,94262.38224
37067,41444.57836
35960,35413.40582
41167,43612.26304
46419,46060.57724
86604,86797.16134
28533,30064.18502
73701,71381.75041
46085,45549.87375
40357,41287.38415
96904,96126.22303
40460,43167.61842
39711,38779.52949
35632,35240.899
40465,40869.94798
30202,34117.64824
47745,52069.77447
37397,36572.81138
56644,55811.00567
39772,36306.9305
100693,100860.1355
28596,30614.07802
41769,43045.48923
117914,117078.672
60072,57500.48487
57433,56252.73119
38612,37685.87885
94800,94262.38224
38099,35794.52553
49982,44725.3305
66413,63735.75479
37831,36837.43569
35139,33004.58077
41155,40498.28107
72797,75627.75525
30855,32226.29492
35822,36046.02924
94417,93565.48565
42048,41127.31106
41800,40665.10259
